question,answer
"How can I add comments to a project?
","Drag the [Comment] block from the Tool Box into the Workspace and attach it to any block in a stack"
"How can physical robots help when teaching Computer Science to young students?
","Robots are motivating and engaging to students"
"How can teaching with VEX 123 and GO help foster persistence in the classroom?","VEX123 and GO STEM Labs and Activities are built around authentic and complex problems that can be solved in multiple ways."
"How can the Cumulative Pacing Guide be used?
","To plan a customized scope and sequence using Workcell curricular resources"
"How can the following example be simplified by using a [Repeat] block?
","By placing the [Drive for] and [Turn for] blocks in a [Repeat] block that repeats four times"
"How can the specific X and Y coordinate location of the VR Robot be found?","In the Dashboard of the Playground"
"How can the [Print] block help while troubleshooting? Select the best answer.
","By displaying what is happening as a VEXcode EXP project runs"
"How can the [Print] block help while troubleshooting? Select the best answer.","All of the above"
"How can using VEX 123 STEM Labs in your classroom support the teaching of responsible decision making?","By encouraging iterative problem solving that allows students to learn from their mistakes"
"How can VEXcode VR help teachers and students in an educational setting?
","VEXcode VR allows students to learn computer science concepts from anywhere without needing a physical robot."
"How can you access VEXcode 123 on a Windows computer?
","Use the VEX 123 web-based version in your Chrome Browser"
"How can you access VEXcode 123 on an Android Tablet?
","Download the VEXcode 123 app from the app store"
"How can you access VEXcode 123 on an iPad? Select the best answer.
","Download the VEXcode 123 app from the app store"
"How can you delete a block in VEXcode IQ? Select the best answer.
","Select the block and drag it to the left out of the Workspace"
"How can you delete blocks in your VEXcode 123 project?
","Separate the blocks from your project, and drag them back to the Toolbox on the left"
"How can you display the Help for the [Drive for] block?
","Select the Help icon, then select the [Drive for] block"
"How can you find the name & part number of most parts used in a set of VEX IQ 3D build instructions?","Click on a part and read the text in the resulting callout box"
"How can you find the name and part number of most parts used in a set of VEX EXP 3D build instructions?","Click on a part and read the text in the resulting callout box"
"How can you find the name and part number of most parts used in a set of VEX V5 3D build instructions?","Click on a part and read the text in the resulting callout box"
"How can you find the VEXcode VR Help Window?
","Select the question mark at the top right corner of the interface."
"How can you log into a VEXcode VR subscription using a Class Code?","Using a Direct Link, via the Splash Screen in VEXcode VR, or in the File Menu in VEXcode VR."
"How can you make the VR Robot move in reverse on the [Drive for] block?
","Changing the "forward" parameter to "reverse"."
"How can you save a VEXcode IQ project? Select the best answer.
","All of the above"
"How can you tell the difference between the Distance Sensor and Optical Sensor in the VEX EXP Kit?","The Optical Sensor has an eye icon on the side while the Distance Sensor has an arrow icon"
"How can you tell the difference between the Distance Sensor and Optical Sensor in the VEX IQ (2nd generation) Kit?","The Optical Sensor has an eye icon on the side while the Distance Sensor has an arrow icon"
"How could you use the Bumper Sensor in the Wall Maze challenge?
","To instruct the VR Robot to turn when it bumps into a wall."
"How do the coordinate values change as the VR Robot continues moving forward in this project on the Numbered Grid Map Playground?
","The X coordinate increases, the Y coordinate stays the same"
"How do you "duplicate" a block?
","Right click (or command click) on the block and select "duplicate"."
"How do you "redo" an action in VEXcode VR?
","Right click (or command click) on the workspace and select "redo"."
"How do you "undo" an action in VEXvode VR?
","Right click (or command click) on the workspace and select "undo"."
"How do you access Offline VEXcode VR?","Download Offline VEXcode VR then log in using a valid Class Code."
"How do you access sample projects in VEXcode EXP?
","Open the File menu and select 'Open Examples'"
"How do you access sample projects in VEXcode IQ?
","Open the File menu and select 'Open Examples'"
"How do you add blocks to a project in VEXcode 123?","Drag blocks from the Toolbox on the left and add them to your project"
"How do you assign a driver configuration to the Controller in VEXcode V5? 
","Select the Joysticks of the Controller in the Devices window
"
"How do you change a [Drive for] block from waiting to non-waiting?
","Select the arrow on the block to expand “and don’t wait”."
"How do you change the behavior of a GO robot? Select the best answer.
","All of the above"
"How do you change the behavior of the VR Robot?
","Change the programming blocks called commands."
"How do you connect the 123 Robot to VEXcode 123 on your device?","Select Robot in the Toolbar, then select Connect"
"How do you connect the 123 Robot to your device in VEXcode 123?
","Select the Robot button in the Toolbar, then select Connect"
"How do you delete a block in VEXcode EXP?
","Select the block and drag it to the left, out of the Workspace"
"How do you delete blocks from a project?
","Take blocks off of the project stack and drag them into the Toolbox"
"How do you install batteries in the Coder?
","Open the battery door with a small screwdriver, insert 2 AAA batteries, replace the battery door"
"How do you load a project in web-based VEXcode EXP?","Select ‘File’ then ‘Load from Your Device’"
"How do you load a project in web-based VEXcode IQ?","Select ‘File’ then ‘Save As’"
"How do you make the Code Base move in reverse using a Drive block?
","Change the 'forward' parameter to 'reverse'"
"How do you make the size of block(s) bigger?
","Use the (+) icon in the bottom right side of the programming area."
"How do you move a block in the Workspace?
","Select the block and drag"
"How do you move a block in the Workspace?","Select the block and drag"
"How do you move blocks in the VEXcode GO Workspace?
","Select and drag the block"
"How do you open a project in app-based VEXcode EXP?","Select ‘File’ then ‘Open’"
"How do you open a project in app-based VEXcode IQ?","Select ‘File’ then ‘Open’"
"How do you open an example project in VEXcode GO?
","Select 'File' and 'Open Examples'"
"How do you open an example project in VEXcode VR?
","Select "File" and "Open Examples""
"How do you pair the Coder with the 123 Robot?
","Press the Left and Right buttons on the 123 Robot and the Start and Stop buttons on the Coder"
"How do you pick the marker up off of the whiteboard on the Workcell?
","Add a coordinate point with a higher z-coordinate value."
"How do you save a project in VEXcode VR?
","Open the File menu and select “Save To Your Device”."
"How do you save a project in web-based VEXcode EXP?","Select ‘File’ then ‘Save to Your Device’"
"How do you save a project in web-based VEXcode IQ?","Select ‘File’ then ‘Save to Your Device’"
"How do you start a project in VEXcode 123?
","Select Start in the Toolbar"
"How do you start the Driver Control program on the Brain?
","Select "Drive" then "Run" on the Brain"
"How does the 123 Robot carry out the commands from a Coder card project?
","From top to bottom in sequence"
"How does the Choice Board facilitate differentiated instruction?
","By allowing students to choose their own activities to complete"
"How does the Eye Sensor distinguish between light and dark objects or surfaces?
","By reporting the brightness level of an object or surface."
"How does the highlighting function help to visualize waiting vs. non-waiting blocks?
","It highlights each block as it is being executed in a VEXcode VR project."
"How does the VEXcode IQ [Wait until] block work?","It will not move to the next block until the Boolean condition reports TRUE"
"How does the Y coordinate value change as the VR Robot moves forward in this project on the Grid Map Playground?
","It increases as the VR Robot drives forward"
"How does the [If then] block function in a VEXcode EXP project?

","It runs the blocks inside of it if the Boolean condition reports TRUE"
"How does the [If then] block function in a VEXcode IQ project?","It runs the blocks inside of it when its Boolean condition reports TRUE"
"How does the [Wait until] block work?

","It will only move to the next block when the condition of the Boolean reports TRUE"
"How far forward will the robot drive in this example?
","400 millimeters (mm)"
"How far forward will the robot drive in this project?
","400 millimeters (mm)"
"How far will the VR Robot move based off of this command?
","300 millimeters (mm)"
"How is a team assigned alliance partners for VIQC Qualifying Matches?
","Alliance partners are randomly assigned"
"How is a team assigned an Alliance partner during Qualifying Matches?
","Alliance partners are randomly assigned for Qualifying Matches"
"How is the <Pressing bumper> block used in this project?
","It checks the condition of the Bumper Sensor. When TRUE, the VR Robot will turn right 180 degrees."
"How is the Inertial Sensor used in VEXcode EXP projects?
","With Drivetrain blocks to maintain straight driving and make accurate turns"
"How is the Inertial Sensor used in VEXcode IQ projects?
","The Inertial Sensor is used with Drivetrain blocks to maintain straight driving and accurate turns"
"How is the [Wait until] block used with the <Pressing bumper> block?
","The <Pressing bumper> Boolean is placed in the hexagonal shape inside the [Wait until] block."
"How many degrees will the arm motor spin up in this project??","260 degrees"
"How many degrees will the arm spin up in this project?
","260 degrees"
"How many degrees will the robot turn in this project?
","180 degrees to the left"
"How many Eye Sensors are on the VR Robot?
",Two
"How many millimeters does the robot drive forward in total?

Notice that loop nested inside has the drive for block repeat four times and the outer loop has the drive for and repeat blocks repeat twice.
",900mm
"How many millimeters does the robot drive forward?
",700mm
"How many rows and columns are needed in a 2D list to store seven coordinate points?
","7 rows and 3 columns"
"How many rows does this 2D list have?
",8
"How many times does the [Repeat] block execute in this project?",3
"How many times will the robot repeat the [Drive for] and [Turn for] blocks in this project?
",4
"How many times will the robot repeat the [Drive for] and [Turn for] blocks in this project?",4
"How many times will the [Repeat] block loop in this code snippet?
","4 times"
"How many times will the [Repeat] block repeat the [Turn for] and [Drive for] blocks inside of it?
","Two times"
"How often will the [Wait until] block check a Boolean condition?
","It will check repeatedly until the Boolean reports TRUE"
"How often will the [Wait until] block check a Boolean condition?","It will check repeatedly until the Boolean reports TRUE"
"How will the Code Base move based on this command?
","Forward for 300 mm"
"How will the robot behave once the Bumper Switch has been pressed according to this project?","It will drive forward for 300 millimeters (mm)"
"How will the robot behave when the Bumper Switch is pressed in this example?


","The robot will stop driving"
"How will the robot behave when the Bumper Switch is pressed in this example?","The robot will stop driving"
"How will the Touch LED behave when this project is run?
","The Touch LED will flash green as the robot drives forward, then blue while the robot turns"
"How will the VR Robot move based off of this command?
","Turn right 80 degrees."
"Ian attached his Eye Sensor to the VEX GO Brain after the brain was already powered on. The Eye Sensor is not reporting values correctly. Which troubleshooting technique would most likely solve his problem?
","Power cycling the Brain"
"If a device is not working properly, what resources are available to help troubleshoot the issue?
","VEX Library articles and tutorial videos"
"If a Smart Motor is connected properly and it is still not responding, what else could potentially be wrong?
","The configuration."
"If a student asks you to review their project for the V5 Clawbot arm, what should you suggest?
","Add a timeout block at the start to protect the arm motor."
"If a student runs into a problem, what is the best series of steps to diagnose and resolve it?
","Make a list of all possible reasons for the errors, test each possibility, search the VEX Library articles for the issue. "
"If completing this investigation with students, which of the following discussion prompts would NOT be helpful to reinforce the learning they did in the lesson?","How many Red Pins were used in this build? Was that more or less than you expected?"
"If the 123 Robot is not plugged in to charge, but the indicator light in the center of the Robot is flashing red, this means __________________________________________.
","The robot’s battery is low and needs to be charged.
"
"If the 123 Robot is plugged in to charge and the indicator light in the center of the Robot is flashing green, ___.","The 123 Robot is fully charged"
"If the 123 Robot is plugged in to charge and the indicator light in the center of the Robot is flashing red, ___.","The 123 Robot is charging"
"If the controller is not communicating with the brain, which of the following steps could be taken to begin troubleshooting?
","Ensure that it is properly paired."
"If the V5 Robot is not powering on, which option is not possible to test to troubleshoot this issue?
","Power cycle the brain."
"If you charge a VEX GO battery for one hour, how long will the charge last?","Approximately one school day"
"In a simple VEXcode EXP project, such as driving in a square using only [Drive for] and [Turn for] blocks, each ______ corresponds to a single behavior.",Block
"In a simple VEXcode IQ project, such as driving in a square using only [Drive for] and [Turn for] blocks, each ______ corresponds to a single behavior.",Block
"In a simple VEXcode V5 project, such as avoiding an obstacle using only [Drive for] and [Turn for] blocks, each ______ corresponds to a single behavior.",Block
"In order to use the V5 Controller wirelessly with the robot, which of the following likely needs to happen?
","All of these need to be true in order to use the controller wirelessly."
"In STEM Labs, the acronym SPARK stands for:
","Seek, Play, Apply, Rethink, Know"
"In the image above, the parts shown from left to right are:","Battery, Switch and Motor"
"In the image above, what does the line marked with a green arrow indicate?","Where the parts shown should be connected to each other"
"In the image above, what does the symbol circled in green indicate?","The number of times the step should be completed"
"In the image above, which of the following is true about the part indicated by the red arrow?","It is called Shaft Collar, and it is used to keep the wheel firmly attached to the shaft."
"In the Play section of a VEX GO STEM Lab, you will find ____________.","step-by-step instructions on how to implement the lesson"
"In the Share section of a VEX GO STEM Lab, you will find_______________.","discussion prompts that you can use in a discussion about the activities and concepts of the STEM Lab"
"In the step above, what is one way you could check to be sure the green plate is correctly attached to the black plate?","Count the number of holes between the Yellow Angle Beam and the Green Plate."
"In this example project, what does the set timeout block do in relation to the robot arm?
","The robot will drive forward once the arm has raised 400 degrees or reached the timeout limit of 3 seconds."
"In this example, the team that wins the ________ would qualify for VEX Worlds. Select the best answer.
","All of the above"
"In this example, why does the greenAccepted Boolean variable need to be set to ‘false’ after the first green disk has been accepted?
","To ensure that any additional green disks are rejected and diverted off of the exit conveyor."
"In this project, how many times will the [Drive for] block be repeated?
","It will be repeated forever"
"In this project, how many times will the [Drive for] block be repeated?",Forever
"In this project, if the condition of the Down Eye detecting red is TRUE, how will the VR Robot move?
","It will turn right for 115 degrees"
"In this project, Jenny wanted to drive forward and then in reverse to the location she started in. What is wrong with her project?","The second drive for block is set to drive forward when it should be set to drive in reverse."
"In this project, the VR Robot will drive along the Y-axis until the value of the Location Sensor is greater than what value?
",-250
"In this project, what color will the Touch LED glow if the condition of the Check button on the Brain being pressed is TRUE?",Green
"In this project, what data does the object exists sensing block provide?
","It provides TRUE or FALSE data as to whether the Vision Sensor detects the object specified in the snapshot block."
"In this project, what triggers the arm to move and energize the electromagnet?
","Pressing the V5 Brain screen."
"In this project, what will the robot do?
","The robot arm will raise and then lower. The robot will then wait for one second before raising the arm again."
"In this project, what will the robot do?","The robot will drive forward for 15mm, turn around toward the left to face the opposite direction, and then drive forward 30mm in the same direction it came from."
"In this project, which action will make the Claw Motor and Arm Motor spin to their assigned positions?

","Pressing the Controller’s Up-arrow button"
"In this project, which behavior will the robot execute when the Check button on the Brain is pressed?
","Drive forward 200 millimeters"
"In this VEXcode EXP project, what will cause the Arm Motor to spin down?
","Pressing the Controller’s L2 button"
"In this VEXcode EXP project, what will happen when the Bumper Switch is pressed?
","The robot will stop"
"In this VEXcode IQ project, the Color Sensor is used to control the robot's behavior based on ______.","whether red is detected or not detected"
"In this VEXcode IQ project, what will happen when the Bumper Switch is pressed?
","The robot will turn right for 90 degrees"
"In this VEXcode IQ project, what will happen when the Bumper Switch is pressed?","The robot will stop"
"In this VEXcode IQ project, what will happen when the Color Sensor detects the color red?
","The robot will stop driving"
"In this VEXcode IQ project, what will happen when the Distance Sensor is less than 50 millimeters away from an object?
","Turn right 90 degrees"
"In this VEXcode IQ project, what will happen when the Optical Sensor detects an object?
","The robot will turn right for 90 degrees"
"In VEXcode VR Python an improperly indented project will do which of the following?","Not run as intended"
"In what units does the (Position of Robot) block report the X or Y coordinates position of the VR Robot?
","Millimeters (mm) or inches"
"In which of these scenarios might the robot’s velocity be set lower than 50%?","When movements need to be precise."
"In which scenario would using Bumper Switch be a disadvantage?
","Avoiding any contact with obstacles or other robots



"
"It is important to calibrate the controller so that:","The V5 Robot Brain receives accurate positions of the joysticks"
"It’s okay for an adult to design, build or program a robot as long as the students understand how the robot works.
",False
"It’s okay for an adult to design, build, or code a VIQC robot as long as the students understand how the robot works.
",False
"Knowing the area in which the Distance Sensor can detect an object can help you to ________________________________________.
","Evaluate the position of the sensor in relation to the objects on the field
"
"Lauren coded this project to have the Clawbot grab a Buckyball and pick it up, drive forward and then turn right before lowering the arm back down to zero. However, the robot did not behave as intended. What is wrong with the code?","The last [Spin for] block should spin down for 250 degrees instead of 0."
"Learning coding and computational thinking can have a positive effect on students' ______.","cognitive, social, and emotional development"
"Learning coding and computational thinking can positively affect students’ ______ development. Select the best answer.","All of the above"
"Learning computer science from a young age helps students develop 21st-century job skills.
",True
"Literacy-themed curricular resources for VEX 123 can be found in the form of  ","VEX 123 Activities, Activity Series, and VEX 123 STEM Labs"
"Looking at a number of objects and knowing the number of objects that are there is known as _________, and is an example of _______________. ","Subitizing; non-verbal spatial math skills"
"Making mistakes, iteration, and ______ are key components to learning computer science.
",troubleshooting
"Of the three options shown for mounting the motor, shaft, and wheel, which one is poorly designed in how it supports shafts?
",C
"One way to easily find literacy-themed VEX 123 Activities quickly is to","Use the “filter by subject” function on the VEX GO Activities page"
"Ordering robot behaviors correctly to accomplish a task is called ______.
",sequence
"Out of the following choices, which is the best to do immediately after changing the gear cartridge?
","I should change the gear cartridge setting within the device configuration in my VEXcode V5 project."
"Path Planning can correctly be described as  ____________________________________.
","the process of decomposing a project into smaller behaviors and documenting these behaviors"
"Pressing the center button on the 123 Robot will cause ___________________.
","The project to start
"
"Pressing the Start button on the 123 Robot will cause which action to occur?","The 123 Robot will run the project"
"Pressing the Step button on the Coder allows the user to ______.
","slowly run the project one Coder card at a time"
"Pushing the 123 Robot along a surface will cause it to _____","Turn on"
"Rylan detached, and then re-attached, her Eye Sensor to the VEX GO Brain after the brain was powered on. The Eye Sensor is not reporting values correctly. Which troubleshooting technique would most likely solve her problem?
","Power cycling the Brain"
"School readiness can best be described as which of the following?","What the child brings to school and how contextual supports enable them to grow"
"Selecting this icon beside a command in the Toolbar will enable you to do which of the following?","Access the built-in Help"
"Selecting this icon in the Toolbar will open which feature of VEXcode GO?
",Help
"Setting the Electromagnet to 'boost' will enable it to do which of the following?
","Pick up a disk"
"Setting the Electromagnet to 'drop' will enable it to do which of the following?
","Release a disk"
"Shafts connecting the motor and wheel will pivot slightly and be harder to spin unless they are designed with at least how many points of support?
","2 parallel points of support"
"Spatial working memory is important for students development of:
","Handwriting skills
"
"Step 1 of this STEM Lab asks the students to _____. Why do you think it is important to include this step at the beginning of the STEM Lab?
","Asks the students to check that the robot is ready before beginning. It is important because it provides links to articles from the VEX Library about troubleshooting techniques and reminds teachers to take the time to cover troubleshooting techniques with the class."
"Students can engage with computer science in creative and collaborative ways.

",True
"Students create more neural connections when engaging in embodied learning. Which of the following is an example of students engaging in embodied learning?","Acting out the parts of a story"
"Students working on a Chromebook can use the VEX 123 Web-based version or download it from the app store.

",True
"Teachers must have a high level of expertise before they can incorporate computer science into their teaching practices.",False
"Teaching computer science to young students ______ the development of 21st century job skills.
",supports
"The  ______ in a STEM Lab are woven throughout its activities and assessments to help you support student learning.","Essential Questions and Unit Understandings

"
"The Alternate Coding Methods section in the STEM Lab Unit Overview provides ______.
","information on how to teach STEM Labs using different ways to code"
"The Alternate Coding Methods section of a STEM Lab is used to ______.
","adapt a STEM Lab to reach students at their individual coding levels"
"The app-based version of VEXcode V5 is made for use with _____________.","All of the above devices
"
"The availability of multiple coding methods for VEX 123 supports teaching computer science to a variety of students across different skill levels.

",True
"The Background information in a STEM Lab unit is designed to ______.
","offer additional information about the context and concepts of the Lab"
"The blue and red arrow symbols in this image from the build instructions signifies which of the following?","Turn the Blue Beam and Red Connector around to face the opposite direction"
"The Brain's firmware is ______.
","The behind-the-scenes programming that allows the Brain to interface with VEXcode IQ and to run user projects"
"The Brain's firmware is ______.","he behind-the-scenes programming that allows the Brain to interface with the coding software"
"The Bumper Switch is commonly used to ______.
","trigger a robot action when pressed or released"
"The Choice Board in a STEM Lab is designed to ______.
","offer students options to show what they have learned"
"The coordinate location of the number '4' on the Numbered Grid Map Playground is X: -300 millimeters (mm) and Y: -900 millimeters (mm). What is the correct sequence of commands to code the VR Robot to drive from the number '1' to number '4?'
","Turn right for 90 degrees, Drive forward, Wait until the X position is greater than -300 millimeters (mm), Stop driving"
"The coordinate location of the number '7' on the Number Grid Map Playground is X: 300 millimeters (mm) and Y: -900 millimeters (mm). What is the correct sequence of commands to code the VR Robot to drive from the number '1' to number '7?'
","Turn right for 90 degrees, Drive forward, Wait until the X position is greater than 300 millimeters (mm), Stop driving"
"The Cumulative Pacing Guide can be used to ______.","plan a scope and sequence of instruction using VEX IQ"
"The Device Info (1st gen) or Sensor Dashboard (2nd gen) on the VEX IQ Brain can be used to view which information?","Which port on the Brain a device is connected to"
"The device used to update firmware on the VEX IQ 2nd generation Brain must have ______.","A working USB-A port"
"The Engineering Design Process is an iterative process made up of which three steps?

","Define, develop solutions, and optimize"
"The Eye Sensor can be used to detect which of the following?
","If an object is nearby"
"The Eye Sensor can report a(n) ______ value in degrees.
","hue color"
"The Eye sensor ______.","can detect if there is an object in front of the robot"
"The Eye Sensor’s ability to determine the brightness level of an object allows it to ______.
","distinguish between light and dark objects or surfaces"
"The firmware on the EXP Brain and Controller ______.
","is the code that allows them to interface with VEXcode EXP"
"The four main categories of pieces in the VEX IQ system are ______.","Electronics, structural components, fasteners, and motion components"
"The goal of this challenge is to navigate the VR Robot through the Disk Maze and stop at the red Disk. Which of the following could be added to this project in order to solve the Disk Maze challenge?
","If FrontEye detects red then Stop"
"The high level organizers for a STEM Lab Unit can be found in which section of the Unit Overview?",Overview
"The highlight feature on the Coder can help students ______.
","make connections between the behavior of the 123 Robot and the Coder cards"
"The idea that learning involves not just our brains, but our whole bodies, and the more neural connections that are made while learning the more meaningful the learning will be is called _________________ .","Embodied cognition"
"The Inertial Sensor is used to ______.","to maintain straight driving and make accurate turns with Drivetrain blocks"
"The IQ 1st generation Distance Sensor uses _________________ to calculate the distance an object is from the sensor. 
","Ultrasonic sound waves
"
"The IQ 2nd generation Distance Sensor uses _________________ to calculate the distance an object is from the sensor. 
","Laser light pulses
"
"The LED Bumper will trigger a behavior when it ______.
","is pressed"
"The lights on the VEX GO Battery in this image show that the battery is ____________.","Fully charged"
"The Meet Your Robot STEM Lab introduces students to ______. Select the best answer.","the concept of a robot, and the 123 Robot"
"The multiple coding methods of VEX 123 create a high barrier of entry for students learning computer science.
",False
"The Optical Sensor can detect and report ______. Select the best answer.
","The proximity and color of an object, and the brightness of light surrounding the sensor"
"The Pacing Guide of a VEX GO STEM Lab can help you _________________.","Adapt the lab to meet your particular needs"
"The Pacing Guide provides strategies for ______.
","teaching a STEM Lab in less time"
"The purpose of Inspection during a VRC event is to:
","To ensure the robot is in compliance with regulations related to size, parts (proper amount and usage of parts, no sharp edges, no modifications, etc.), and field control guidelines (correct version of the software and competition template loaded)."
"The purpose of the Background section of a VEX GO STEM Lab is ________________.","To provide teachers with knowledge necessary to answer any student questions about the topics in the STEM Lab, without doing outside research."
"The purpose of the hat block in the competition template is to indicate which stacks are for which competition section.
",True
"The purposes of the Engage section of a VEX GO STEM Lab Lesson are:","To introduce the lesson and complete the build"
"The Range Finder is a sensor used to determine the distance of the nearest object or obstacle from the sensor. Based on this project that uses the Range Finder, what does the robot do if the distance detected is greater than 3 inches?","The robot will drive forward"
"The red indicator light in this image is conveying the following:","The Controller is plugged in and actively charging "
"The Sensor Dashboard on the VEX EXP Brain can be used to view which information?
","Which port on the Brain a device is connected to"
"The sensors in the VEX 123 Robot enable it to ______.","move with precision and interact with its environment"
"The three basic phases of the engineering design process are ______.","Define, develop solutions, and optimize"
